route name,olon,olat,dlon,dlat,country_dep,country_arr
"Indonesia-India, Tanjung Priok - Jawaharlal Nehru Port (JNPT)",106.8865,-6.104,72.9416,18.9633,Indonesia,India
"Indonesia-India, Tanjung Priok - Mundra Port",106.8865,-6.104,69.7079,22.7407,Indonesia,India
"Indonesia-India, Tanjung Priok - Deendayal (Kandla)",106.8865,-6.104,70.2167,23.0333,Indonesia,India
"Indonesia-India, Tanjung Priok - Mumbai Port",106.8865,-6.104,72.8371,18.9517,Indonesia,India
"Indonesia-India, Tanjung Priok - Chennai Port",106.8865,-6.104,80.2824,13.0837,Indonesia,India
"Indonesia-India, Tanjung Priok - Ennore (Kamarajar) Port",106.8865,-6.104,80.3395,13.2535,Indonesia,India
"Indonesia-India, Tanjung Priok - Visakhapatnam Port",106.8865,-6.104,83.2824,17.6902,Indonesia,India
"Indonesia-India, Tanjung Priok - Kolkata (Syama Prasad Mookerjee) Port",106.8865,-6.104,88.3121,22.5462,Indonesia,India
"Indonesia-India, Tanjung Priok - Paradip Port",106.8865,-6.104,86.6086,20.3167,Indonesia,India
"Indonesia-India, Tanjung Priok - Tuticorin (V.O.C.) Port",106.8865,-6.104,78.1346,8.7691,Indonesia,India
"Indonesia-Japan, Tanjung Priok - Yokohama",106.8865,-6.104,139.638,35.4536,Indonesia,Japan
"Indonesia-Japan, Tanjung Priok - Tokyo",106.8865,-6.104,139.7639,35.6406,Indonesia,Japan
"Indonesia-Japan, Tanjung Priok - Kobe",106.8865,-6.104,135.187,34.678,Indonesia,Japan
"Indonesia-Japan, Tanjung Priok - Nagoya",106.8865,-6.104,136.8806,35.0885,Indonesia,Japan
"Indonesia-Japan, Tanjung Priok - Osaka",106.8865,-6.104,135.409,34.6431,Indonesia,Japan
"Indonesia-Japan, Tanjung Priok - Chiba",106.8865,-6.104,140.0895,35.5959,Indonesia,Japan
"Indonesia-Japan, Tanjung Priok - Kitakyushu",106.8865,-6.104,130.8757,33.9056,Indonesia,Japan
"Indonesia-Japan, Tanjung Priok - Shimizu",106.8865,-6.104,138.4885,35.0172,Indonesia,Japan
"Indonesia-Japan, Tanjung Priok - Hiroshima",106.8865,-6.104,132.4645,34.3647,Indonesia,Japan
"Indonesia-Japan, Tanjung Priok - Kagoshima",106.8865,-6.104,130.5512,31.5368,Indonesia,Japan
"Indonesia-Russia, Tanjung Priok - Saint-Pétersbourg",106.8865,-6.104,30.3062,59.9339,Indonesia,Russia
"Indonesia-Russia, Tanjung Priok - Novorossiysk",106.8865,-6.104,37.7682,44.7244,Indonesia,Russia
"Indonesia-Russia, Tanjung Priok - Vladivostok",106.8865,-6.104,131.8747,43.1056,Indonesia,Russia
"Indonesia-Russia, Tanjung Priok - Mourmansk",106.8865,-6.104,33.0744,68.9707,Indonesia,Russia
"Indonesia-Russia, Tanjung Priok - Arkhangelsk",106.8865,-6.104,40.5433,64.5401,Indonesia,Russia
"Indonesia-Russia, Tanjung Priok - Nakhodka",106.8865,-6.104,132.8667,42.7833,Indonesia,Russia
"Indonesia-Russia, Tanjung Priok - Oust-Louga",106.8865,-6.104,28.3292,59.6731,Indonesia,Russia
"Indonesia-Russia, Tanjung Priok - Primorsk",106.8865,-6.104,28.7389,60.3668,Indonesia,Russia
"Indonesia-Russia, Tanjung Priok - Vostochny",106.8865,-6.104,133.0989,42.7278,Indonesia,Russia
"Indonesia-Russia, Tanjung Priok - Kaliningrad",106.8865,-6.104,20.5332,54.6981,Indonesia,Russia
"Indonesia-US, Tanjung Priok - Los Angeles",106.8865,-6.104,-118.276,33.7326,Indonesia,US
"Indonesia-US, Tanjung Priok - Long Beach",106.8865,-6.104,-118.2167,33.7542,Indonesia,US
"Indonesia-US, Tanjung Priok - New York & New Jersey",106.8865,-6.104,-74.0413,40.6681,Indonesia,US
"Indonesia-US, Tanjung Priok - Savannah",106.8865,-6.104,-81.0912,32.0809,Indonesia,US
"Indonesia-US, Tanjung Priok - Houston",106.8865,-6.104,-95.2633,29.739,Indonesia,US
"Indonesia-US, Tanjung Priok - Virginia (Norfolk Portsmouth)",106.8865,-6.104,-76.3111,36.8674,Indonesia,US
"Indonesia-US, Tanjung Priok - Oakland",106.8865,-6.104,-122.279,37.795,Indonesia,US
"Indonesia-US, Tanjung Priok - Charleston",106.8865,-6.104,-79.9256,32.7821,Indonesia,US
"Indonesia-US, Tanjung Priok - Seattle/Tacoma",106.8865,-6.104,-122.3408,47.6017,Indonesia,US
"Indonesia-US, Tanjung Priok - Miami",106.8865,-6.104,-80.1826,25.7781,Indonesia,US
"Indonesia-Vietnam, Tanjung Priok - Cat Lai (Saïgon/HCM)",106.8865,-6.104,106.7722,10.768,Indonesia,Vietnam
"Indonesia-Vietnam, Tanjung Priok - Cai Mep–Thi Vai",106.8865,-6.104,107.03,10.52,Indonesia,Vietnam
"Indonesia-Vietnam, Tanjung Priok - Hai Phong",106.8865,-6.104,106.6833,20.85,Indonesia,Vietnam
"Indonesia-Vietnam, Tanjung Priok - Cam Pha",106.8865,-6.104,107.3,21.0167,Indonesia,Vietnam
"Indonesia-Vietnam, Tanjung Priok - Da Nang",106.8865,-6.104,108.2333,16.0833,Indonesia,Vietnam
"Indonesia-Vietnam, Tanjung Priok - Quy Nhon",106.8865,-6.104,109.2333,13.7667,Indonesia,Vietnam
"Indonesia-Vietnam, Tanjung Priok - Nha Trang",106.8865,-6.104,109.1958,12.25,Indonesia,Vietnam
"Indonesia-Vietnam, Tanjung Priok - Can Tho",106.8865,-6.104,105.7689,10.031,Indonesia,Vietnam
