c1,c2,distKM_num
Australia,China,8156.224375
Australia,SAFR,10828.0640625
China,SAFR,13862.202625
India,Australia,9262.251375
India,China,7979.3926
India,Japan,9046.0259
India,Russia,13014.1399
India,SAFR,8630.010375
India,South Korea,8529.3225
India,US,17573.288500000002
India,Vietnam,5489.9092
Indonesia,Australia,5669.35725
Indonesia,China,4857.4036
Indonesia,India,4537.6912
Indonesia,Japan,5828.9249
Indonesia,Russia,14319.2052
Indonesia,SAFR,9882.821375
Indonesia,South Korea,5375.281333333333
Indonesia,US,18131.3887
Indonesia,Vietnam,2616.4467
Japan,Australia,8047.95225
Japan,China,2085.1663
Japan,Russia,16122.9877
Japan,SAFR,14866.335875
Japan,South Korea,1146.7318333333335
Japan,US,18823.1041
Japan,Vietnam,4049.5766999999996
Russia,Australia,17972.271125
Russia,China,15602.9251
Russia,SAFR,14699.24275
Russia,South Korea,15666.217333333334
Russia,US,17290.718100000002
Russia,Vietnam,14505.0133
South Korea,Australia,8279.180416666666
South Korea,China,1295.7068333333334
South Korea,SAFR,14408.952083333332
US,Australia,19388.028125
US,China,18889.4936
US,SAFR,16219.302749999999
US,South Korea,18822.370666666666
US,Vietnam,18196.7877
Vietnam,Australia,7120.7342499999995
Vietnam,China,2944.9592
Vietnam,SAFR,11490.372
Vietnam,South Korea,3494.8894999999998
